date,media_source,installs,sessions,clicks
2026-06-01,Acordo_Certo,0,0,32
2026-06-01,Blog,0,0,112
2026-06-01,Cross_sale,0,0,226
2026-06-01,SMS,0,0,5
2026-06-01,Serasa,0,0,9
2026-06-01,WhatsApp,0,0,1222
2026-06-01,organic,31,91,0
2026-06-01,outros,0,0,15
2026-06-02,Acordo_Certo,0,0,32
2026-06-02,Blog,0,0,124
2026-06-02,Cross_sale,0,0,204
2026-06-02,SMS,0,0,8
2026-06-02,Serasa,0,0,12
2026-06-02,WhatsApp,0,0,278
2026-06-02,organic,31,85,0
2026-06-02,outros,0,0,5
2026-06-03,Acordo_Certo,0,0,55
2026-06-03,Blog,0,0,928
2026-06-03,Cross_sale,0,0,273
2026-06-03,SMS,0,0,3
2026-06-03,Serasa,0,0,9
2026-06-03,WhatsApp,0,0,115
2026-06-03,organic,47,148,0
2026-06-04,Acordo_Certo,0,0,31
2026-06-04,Blog,0,0,130
2026-06-04,Cross_sale,0,0,271
2026-06-04,Serasa,0,0,12
2026-06-04,WhatsApp,0,0,173
2026-06-04,organic,34,62,0
2026-06-04,outros,0,0,10
2026-06-05,Acordo_Certo,0,0,48
2026-06-05,Blog,0,0,129
2026-06-05,Cross_sale,0,0,251
2026-06-05,SMS,0,0,2
2026-06-05,Serasa,0,0,15
2026-06-05,WhatsApp,0,0,133
2026-06-05,organic,38,118,0
2026-06-05,outros,0,0,1
2026-06-06,Acordo_Certo,0,0,30
2026-06-06,Blog,0,0,97
2026-06-06,Cross_sale,0,0,227
2026-06-06,SMS,0,0,2
2026-06-06,Serasa,0,0,13
2026-06-06,WhatsApp,0,0,217
2026-06-06,organic,1,16,0
2026-06-07,Acordo_Certo,0,0,22
2026-06-07,Blog,0,0,72
2026-06-07,Cross_sale,0,0,204
2026-06-07,SMS,0,0,2
2026-06-07,Serasa,0,0,12
2026-06-07,WhatsApp,0,0,142
2026-06-07,organic,4,14,0
2026-06-08,Acordo_Certo,0,0,21
2026-06-08,Blog,20,75,158
2026-06-08,Cross_sale,13,74,209
2026-06-08,Facebook Ads,0,0,162
2026-06-08,SMS,0,0,6
2026-06-08,Serasa,1,3,5
2026-06-08,WhatsApp,93,423,1058
2026-06-08,organic,666,2585,0
2026-06-08,outros,0,0,2
